LR,epsilon,epochs,Clean Acc,Acc backdoor,Backdoor source,Backdoor target
1e-06,0.1,25,95.34700000000001,84.456,96.47578001022339,44.87748146057129
1e-06,0.1,50,95.29099999999998,84.429,96.90749049186707,45.17799913883209
1e-06,0.1,75,95.315,84.29100000000001,97.53304719924927,45.32593786716461
1e-06,0.1,90,95.268,84.205,97.65639305114746,45.48312723636627
1e-06,0.1,100,95.244,84.149,97.77973294258118,45.51548957824707
1e-06,0.01,1,95.34,84.551,96.29956483840942,44.669437408447266
1e-06,0.01,10,95.36600000000001,84.52900000000001,96.47578001022339,44.74802911281586
1e-06,0.01,25,95.30999999999999,84.457,96.65199518203735,44.757279753685
1e-06,0.01,50,95.343,84.39599999999999,97.6211428642273,44.9560821056366
1e-06,0.01,75,95.19300000000001,84.22,97.97356724739075,45.07628381252289
1e-06,0.01,90,95.124,84.151,98.09691309928894,45.16412317752838
1e-06,0.01,100,95.07299999999998,84.074,98.14978837966919,45.15950083732605
1e-06,0.001,1,95.34,84.503,96.29956483840942,44.553858041763306
1e-06,0.001,10,95.378,84.474,96.47578001022339,44.72029209136963
1e-06,0.001,25,95.295,84.445,96.66080474853516,44.7665274143219
1e-06,0.001,50,95.328,84.346,97.65639305114746,44.9329674243927
1e-06,0.001,75,95.16999999999999,84.237,97.97356724739075,44.946831464767456
1e-06,0.001,90,95.106,84.077,98.14978837966919,45.057788491249084
1e-06,0.001,100,95.07000000000001,84.056,98.15858602523804,45.13638913631439
